instrument,alpha,key,text,label
16PF,0.73,-1,Am always worried about something.,Sensitivity
16PF,0.73,1,Am always worried that my partner is going to leave me.,Sensitivity
16PF,0.85,1,Am an energetic person.,Emotional Stability
16PF,0.76,1,Am an extremely grateful person.,Intellect
16PF,0.84,-1,Am an extremely loyal person.,Dutifulness
16PF,0.84,1,Am an honest person.,Dutifulness
16PF,0.86,1,Am an original thinker.,Reserve
16PF,0.81,1,Am annoyed by others' mistakes.,Dominance
16PF,0.81,1,Am annoyed by others' mistakes.,Assertiveness
16PF,0.73,1,Am annoyed by others' mistakes.,Introversion
16PF,0.8,-1,Am annoyed by others' mistakes.,Imagination
16PF,0.85,1,Am apprehensive about new encounters.,Emotional Stability
16PF,0.8,-1,Am apprehensive about new encounters.,Imagination
16PF,0.78,-1,Am apprehensive about new encounters.,Gregariousness
16PF,0.86,-1,Am attached to conventional ways.,Reserve
16PF,0.76,-1,Am attached to conventional ways.,Intellect
16PF,0.8,1,Am calm even in tense situations.,Anxiety
16PF,0.8,1,Am calm even in tense situations.,Friendliness
16PF,0.8,1,Am calm even in tense situations.,Distrust
16PF,0.8,1,Am calm even in tense situations.,Imagination
16PF,0.8,1,Am careful to avoid making mistakes.,Warmth
16PF,0.81,1,Am comfortable in unfamiliar situations.,Dominance
16PF,0.81,1,Am comfortable in unfamiliar situations.,Assertiveness
16PF,0.81,1,Am comfortable in unfamiliar situations.,Dominance
16PF,0.81,1,Am comfortable in unfamiliar situations.,Assertiveness
16PF,0.8,1,Am committed to principles of justice and equality.,Imagination
16PF,0.8,1,Am concerned about others.,Warmth
16PF,0.8,1,Am concerned about others.,Friendliness
16PF,0.76,1,Am concerned about others.,Intellect
16PF,0.8,-1,Am concerned about others.,Distrust
16PF,0.8,-1,Am considered attractive by others.,Distrust
16PF,0.8,-1,Am considered to be a wise person.,Warmth
16PF,0.82,-1,Am considered to be kind of eccentric.,Complexity
16PF,0.84,1,Am considered to be kind of eccentric.,Dutifulness
16PF,0.76,-1,Am considered to be kind of eccentric.,Emotionality
16PF,0.76,1,Am constantly reflecting about myself.,Intellect
16PF,0.84,-1,Am continually losing things.,Dutifulness
16PF,0.81,-1,Am convinced that my way is the best way.,Dominance
16PF,0.81,-1,Am deeply moved by others' misfortunes.,Assertiveness
16PF,0.81,1,Am deeply moved by others' misfortunes.,Dominance
16PF,0.81,1,Am deeply moved by others' misfortunes.,Assertiveness
16PF,0.73,1,Am deeply moved by others' misfortunes.,Introversion
16PF,0.76,1,Am deeply moved by others' misfortunes.,Intellect
16PF,0.8,1,Am described as grumpy.,Anxiety
6FPQ,0.73,1,Am devoted to religion.,Agreeableness
6FPQ,0.82,1,Am eager to soothe hurt feelings.,Achievement-striving
6FPQ,0.76,-1,Am easily annoyed.,Deliberateness
6FPQ,0.73,1,Am easily confused.,Humor/Playfulness
6FPQ,0.59,1,Am easily controlled by others in my life.,Self-Sufficiency
6FPQ,0.78,-1,Am easily discouraged.,Methodicalness
6FPQ,0.67,1,Am easily discouraged.,Adaptability
6FPQ,0.67,-1,Am easily discouraged.,Adaptability
6FPQ,0.7,-1,Am easily discouraged.,Adventurousness
6FPQ,0.75,1,Am easily discouraged.,Industriousness/Perseverance/Persistence
6FPQ,0.78,1,Am easily discouraged.,Methodicalness
6FPQ,0.73,-1,Am easily discouraged.,Agreeableness
6FPQ,0.7,-1,Am easily discouraged.,Adventurousness
6FPQ,0.81,-1,Am easily disoriented.,Orderliness
6FPQ,0.59,-1,Am easily distracted.,Self-Sufficiency
6FPQ,0.73,-1,Am easily distracted.,Agreeableness
6FPQ,0.78,1,Am easily distracted.,Methodicalness
6FPQ,0.85,1,Am easily distracted.,Extraversion
6FPQ,0.81,1,Am easily disturbed.,Resourcefulness
6FPQ,0.67,1,Am easily disturbed.,Adaptability
6FPQ,0.87,-1,Am easily disturbed.,Gregariousness
6FPQ,0.73,1,Am easily excited.,Agreeableness
6FPQ,0.8,1,Am easily frightened.,Intellectual Openness
6FPQ,0.83,1,Am easily hurt.,Exhibitionism
6FPQ,0.78,-1,Am easily hurt.,Methodicalness
6FPQ,0.74,1,Am easily hurt.,Unpretentiousness
6FPQ,0.73,1,Am easily hurt.,Agreeableness
6FPQ,0.87,1,Am easily intimidated.,Calmness
6FPQ,0.85,-1,Am easily intimidated.,Extraversion
6FPQ,0.83,-1,Am easily intimidated.,Exhibitionism
6FPQ,0.85,-1,Am easily intimidated.,Leadership
6FPQ,0.8,-1,Am easily intimidated.,Intellectual Openness
6FPQ,0.8,-1,Am easily intimidated.,Intellectual Openness
6FPQ,0.8,1,Am easily moved to tears.,Intellectual Openness
6FPQ,0.73,1,Am easily moved to tears.,Humor/Playfulness
6FPQ,0.85,1,Am easily moved to tears.,Extraversion
6FPQ,0.83,1,Am easily moved to tears.,Exhibitionism
6FPQ,0.75,1,Am easily moved to tears.,Industriousness/Perseverance/Persistence
6FPQ,0.73,1,Am easily offended.,Humor/Playfulness
6FPQ,0.83,1,Am easily offended.,Exhibitionism
6FPQ,0.87,-1,Am easily offended.,Gregariousness
6FPQ,0.87,-1,Am easily put out.,Gregariousness
6FPQ,0.82,-1,Am easily put out.,Comprehension
6FPQ,0.82,-1,Am easily startled.,Comprehension
6FPQ,0.69,-1,Am easily talked into doing silly things,Independence
6FPQ,0.8,1,Am easily talked into doing silly things.,Culture
6FPQ,0.59,1,Am easily talked into doing silly things.,Self-Sufficiency
6FPQ,0.8,-1,Am easily talked into doing silly things.,Culture
6FPQ,0.81,1,Am easy to satisfy.,Resourcefulness
6FPQ,0.81,1,Am easy to satisfy.,Resourcefulness
6FPQ,0.81,-1,Am easy to satisfy.,Orderliness
6FPQ,0.81,1,Am easy to satisfy.,Resourcefulness
6FPQ,0.67,1,Am embarrassed to have people see my home.,Adaptability
6FPQ,0.81,1,Am emotionally reserved.,Resourcefulness
6FPQ,0.85,1,Am exacting in my work.,Extraversion
6FPQ,0.81,1,Am exacting in my work.,Resourcefulness
6FPQ,0.66,-1,Am exacting in my work.,Reclusiveness
6FPQ,0.67,-1,Am exacting in my work.,Adaptability
6FPQ,0.8,1,Am exacting in my work.,Intellectual Openness
6FPQ,0.74,-1,Am exacting in my work.,Unpretentiousness
6FPQ,0.76,1,Am exacting in my work.,Deliberateness
6FPQ,0.75,1,Am exacting in my work.,Industriousness/Perseverance/Persistence
6FPQ,0.66,1,Am excited by many different activities.,Reclusiveness
6FPQ,0.7,-1,Am excited to inflict pain on others.,Adventurousness
6FPQ,0.85,-1,Am filled with doubts about things.,Leadership
6FPQ,0.61,1,Am filled with doubts about things.,Conservatism
6FPQ,0.85,-1,Am filled with doubts about things.,Leadership
6FPQ,0.7,-1,Am filled with doubts about things.,Adventurousness
6FPQ,0.82,1,Am filled with doubts about things.,Achievement-striving
6FPQ,0.82,-1,Am full of ideas.,Achievement-striving
6FPQ,0.82,1,Am full of ideas.,Achievement-striving
6FPQ,0.8,-1,Am full of ideas.,Culture
6FPQ,0.8,-1,Am full of ideas.,Culture
6FPQ,0.8,-1,Am generally a fearful person.,Culture
6FPQ,0.8,-1,Am good at helping people work well together.,Culture
6FPQ,0.59,1,Am good at making impromptu speeches.,Self-Sufficiency
6FPQ,0.59,1,Am good at making impromptu speeches.,Self-Sufficiency
6FPQ,0.81,1,Am good at making impromptu speeches.,Orderliness
6FPQ,0.69,1,Am good at making impromptu speeches.,Independence
6FPQ,0.61,-1,Am good at making impromptu speeches.,Conservatism
6FPQ,0.69,1,Am good at many things.,Independence
6FPQ,0.74,1,Am good at many things.,Unpretentiousness
6FPQ,0.76,-1,Am good at many things.,Deliberateness
6FPQ,0.7,-1,Am good at many things.,Docility
6FPQ,0.66,-1,Am good at sensing what others are feeling.,Reclusiveness
6FPQ,0.83,-1,Am good at taking advice.,Exhibitionism
6FPQ,0.7,-1,Am good at taking advice.,Adventurousness
6FPQ,0.83,1,Am guided by my moods.,Exhibitionism
6FPQ,0.81,-1,Am guided by my moods.,Resourcefulness
6FPQ,0.67,-1,Am hard to convince.,Adaptability
6FPQ,0.76,1,Am hard to get to know.,Deliberateness
6FPQ,0.73,1,Am hard to get to know.,Humor/Playfulness
6FPQ,0.82,1,Am hard to get to know.,Comprehension
6FPQ,0.8,1,Am hard to get to know.,Culture
6FPQ,0.66,1,Am hard to get to know.,Reclusiveness
6FPQ,0.82,1,Am hard to get to know.,Achievement-striving
6FPQ,0.73,1,Am hard to get to know.,Humor/Playfulness
6FPQ,0.85,1,Am hard to reason with.,Extraversion
6FPQ,0.87,1,Am hard to satisfy.,Gregariousness
6FPQ,0.69,1,Am hard to satisfy.,Independence
6FPQ,0.75,-1,Am hard to understand.,Industriousness/Perseverance/Persistence
6FPQ,0.85,-1,Am hard to understand.,Extraversion
6FPQ,0.82,-1,Am humble about the good things that have happened to me.,Achievement-striving
6FPQ,0.85,1,Am in awe of simple things in life that others might take for granted.,Leadership
6FPQ,0.82,1,Am inclined to forgive others.,Comprehension
6FPQ,0.87,-1,Am inclined to forgive others.,Calmness
6FPQ,0.73,-1,Am inclined to forgive others.,Agreeableness
6FPQ,0.8,1,Am indifferent to the feelings of others.,Culture
6FPQ,0.87,-1,Am indifferent to the feelings of others.,Calmness
6FPQ,0.87,-1,Am indifferent to the feelings of others.,Calmness
6FPQ,0.81,-1,Am indifferent to the feelings of others.,Resourcefulness
6FPQ,0.66,1,Am indifferent to the feelings of others.,Reclusiveness
6FPQ,0.82,-1,Am indifferent to the feelings of others.,Achievement-striving
6FPQ,0.73,1,Am inexplicably happy some of the time.,Humor/Playfulness
6FPQ,0.85,1,Am inflexible when I think I'm right.,Extraversion
6FPQ,0.82,-1,Am interested in many things.,Comprehension
6FPQ,0.82,1,Am interested in many things.,Comprehension
6FPQ,0.75,-1,Am interested in many things.,Industriousness/Perseverance/Persistence
6FPQ,0.85,1,Am interested in people,Leadership
6FPQ,0.7,1,Am interested in people.,Docility
6FPQ,0.81,1,Am interested in people.,Orderliness
6FPQ,0.75,-1,Am interested in people.,Industriousness/Perseverance/Persistence
6FPQ,0.83,-1,Am interested in people.,Exhibitionism
6FPQ,0.61,1,Am interested in science.,Conservatism
6FPQ,0.73,1,Am just an ordinary person.,Humor/Playfulness
6FPQ,0.75,1,Am known as a controlling person.,Industriousness/Perseverance/Persistence
6FPQ,0.73,-1,Am less capable than most people.,Agreeableness
6FPQ,0.74,-1,Am less capable than most people.,Unpretentiousness
6FPQ,0.76,-1,Am likely to show off if I get the chance.,Deliberateness
6FPQ,0.85,-1,Am likely to show off if I get the chance.,Extraversion
6FPQ,0.66,-1,Am likely to show off if I get the chance.,Reclusiveness
6FPQ,0.66,-1,Am likely to show off if I get the chance.,Reclusiveness
6FPQ,0.87,-1,Am mainly interested in money.,Gregariousness
6FPQ,0.73,1,Am more capable than most others.,Humor/Playfulness
6FPQ,0.85,-1,Am nervous or tense most of the time.,Extraversion
6FPQ,0.78,-1,Am never at a loss for words.,Methodicalness
6FPQ,0.59,-1,Am never bored.,Self-Sufficiency
6FPQ,0.7,1,Am never too busy to help a friend.,Docility
6FPQ,0.73,1,Am nice to people I should be angry at.,Humor/Playfulness
6FPQ,0.7,1,Am nice to store clerks.,Docility
6FPQ,0.61,-1,Am not a caring person.,Conservatism
6FPQ,0.7,1,Am not a dependable person.,Docility
6FPQ,0.85,1,Am not a joyful person.,Leadership
6FPQ,0.8,1,Am not a sympathetic person.,Culture
6FPQ,0.78,1,Am not a very enthusiastic person.,Methodicalness
6FPQ,0.76,-1,Am not afraid of providing criticism.,Deliberateness
6FPQ,0.83,1,Am not afraid of providing criticism.,Exhibitionism
6FPQ,0.66,1,Am not afraid of providing criticism.,Reclusiveness
6FPQ,0.61,1,Am not all that curious about the world.,Conservatism
6FPQ,0.82,1,Am not always honest with myself.,Comprehension
6FPQ,0.81,1,Am not always honest with myself.,Resourcefulness
6FPQ,0.81,1,Am not always what I appear to be.,Orderliness
6FPQ,0.7,1,Am not always what I appear to be.,Adventurousness
6FPQ,0.66,1,Am not an extraordinary person.,Reclusiveness
6FPQ,0.87,-1,Am not as strict as I should be.,Calmness
6FPQ,0.73,1,Am not bothered by difficult social situations.,Humor/Playfulness
6FPQ,0.69,-1,Am not bothered by difficult social situations.,Independence
6FPQ,0.8,1,Am not bothered by disorder.,Culture
6FPQ,0.82,1,Am not bothered by disorder.,Comprehension
6FPQ,0.78,-1,Am not bothered by disorder.,Methodicalness
6FPQ,0.59,1,Am not bothered by disorder.,Self-Sufficiency
6FPQ,0.87,1,Am not bothered by disorder.,Gregariousness
6FPQ,0.76,-1,Am not bothered by disorder.,Deliberateness
6FPQ,0.78,-1,Am not bothered by messy people.,Methodicalness
6FPQ,0.82,-1,Am not bothered by messy people.,Achievement-striving
6FPQ,0.59,-1,Am not bothered by messy people.,Self-Sufficiency
6FPQ,0.69,-1,Am not bothered by messy people.,Independence
6FPQ,0.69,-1,Am not concerned with making a good impression.,Independence
6FPQ,0.81,1,Am not concerned with making a good impression.,Resourcefulness
6FPQ,0.87,-1,Am not concerned with making a good impression.,Gregariousness
6FPQ,0.81,1,Am not confident that my way of doing things will work out for the best.,Orderliness
6FPQ,0.59,-1,Am not considered to have new and different ideas.,Self-Sufficiency
6FPQ,0.61,-1,Am not disturbed by events.,Conservatism
6FPQ,0.78,1,Am not disturbed by events.,Methodicalness
6FPQ,0.82,1,Am not easily affected by my emotions.,Achievement-striving
6FPQ,0.66,1,Am not easily affected by my emotions.,Reclusiveness
6FPQ,0.8,-1,Am not easily affected by my emotions.,Intellectual Openness
6FPQ,0.8,1,Am not easily amused.,Intellectual Openness
6FPQ,0.67,-1,Am not easily amused.,Adaptability
6FPQ,0.75,-1,Am not easily annoyed.,Industriousness/Perseverance/Persistence
6FPQ,0.74,-1,Am not easily annoyed.,Unpretentiousness
6FPQ,0.7,1,Am not easily annoyed.,Docility
6FPQ,0.75,1,Am not easily annoyed.,Industriousness/Perseverance/Persistence
6FPQ,0.87,1,Am not easily annoyed.,Calmness
6FPQ,0.87,1,Am not easily annoyed.,Calmness
6FPQ,0.8,-1,Am not easily annoyed.,Intellectual Openness
6FPQ,0.87,1,Am not easily bothered by things.,Calmness
6FPQ,0.76,1,Am not easily bothered by things.,Deliberateness
6FPQ,0.61,1,Am not easily bothered by things.,Conservatism
6FPQ,0.76,-1,Am not easily bothered by things.,Deliberateness
6FPQ,0.69,1,Am not easily bothered by things.,Independence
6FPQ,0.85,1,Am not easily bothered by things.,Leadership
6FPQ,0.7,1,Am not easily bothered by things.,Adventurousness
6FPQ,0.74,-1,Am not easily distracted.,Unpretentiousness
6FPQ,0.69,-1,Am not easily disturbed by events.,Independence
6FPQ,0.87,1,Am not easily disturbed by events.,Calmness
6FPQ,0.82,-1,Am not easily frustrated.,Achievement-striving
6FPQ,0.82,1,Am not easily frustrated.,Comprehension
6FPQ,0.87,-1,Am not easily frustrated.,Calmness
6FPQ,0.82,1,Am not easily frustrated.,Comprehension
6FPQ,0.87,1,Am not easily frustrated.,Gregariousness
6FPQ,0.76,1,Am not easily stirred.,Deliberateness
6FPQ,0.73,1,Am not embarrassed easily.,Agreeableness
6FPQ,0.59,-1,Am not embarrassed easily.,Self-Sufficiency
6FPQ,0.87,1,Am not embarrassed easily.,Gregariousness
6FPQ,0.73,1,Am not embarrassed easily.,Agreeableness
6FPQ,0.8,-1,Am not embarrassed easily.,Intellectual Openness
6FPQ,0.7,1,Am not embarrassed easily.,Adventurousness
6FPQ,0.73,1,Am not embarrassed easily.,Agreeableness
6FPQ,0.74,-1,Am not embarrassed easily.,Unpretentiousness
6FPQ,0.85,1,Am not embarrassed easily.,Leadership
6FPQ,0.85,-1,Am not fun to be with.,Leadership
6FPQ,0.78,1,Am not good at describing the emotions I feel throughout the day.,Methodicalness
6FPQ,0.61,1,Am not good at figuring out what really matters.,Conservatism
6FPQ,0.74,-1,Am not good at getting people to like me.,Unpretentiousness
6FPQ,0.85,1,Am not good at planning group activities.,Leadership
6FPQ,0.69,-1,Am not good at taking charge of a group.,Independence
6FPQ,0.67,-1,Am not good at telling jokes.,Adaptability
6FPQ,0.8,1,Am not good at working with a group.,Intellectual Openness
6FPQ,0.87,1,Am not happy until all the details are taken care of.,Gregariousness
6FPQ,0.7,1,Am not highly motivated to succeed.,Docility
6FPQ,0.7,-1,Am not highly motivated to succeed.,Docility
6FPQ,0.75,1,Am not highly motivated to succeed.,Industriousness/Perseverance/Persistence
6FPQ,0.74,-1,Am not highly motivated to succeed.,Unpretentiousness
6FPQ,0.85,-1,Am not highly motivated to succeed.,Extraversion
6FPQ,0.7,1,Am not in the mood for anything.,Adventurousness
6FPQ,0.83,1,Am not in touch with my feelings.,Exhibitionism
6FPQ,0.7,-1,Am not in touch with my feelings.,Adventurousness
6FPQ,0.83,-1,Am not interested in abstract ideas.,Exhibitionism
7FACTOR,0.75,-1,Am not interested in abstract ideas.,Conscientiousness
7FACTOR,0.77,1,Am not interested in abstract ideas.,Agreeableness
7FACTOR,0.86,1,Am not interested in abstract ideas.,Emotional Stability
7FACTOR,0.66,-1,Am not interested in abstract ideas.,Attractiveness
7FACTOR,0.84,-1,Am not interested in abstract ideas.,Intellect
7FACTOR,0.77,-1,Am not interested in abstract ideas.,Agreeableness
7FACTOR,0.86,-1,Am not interested in other people’s problems.,Emotional Stability
7FACTOR,0.82,1,Am not interested in other people’s problems.,Extraversion
7FACTOR,0.84,-1,Am not interested in other people's problems.,Intellect
7FACTOR,0.75,1,Am not interested in other people's problems.,Conscientiousness
7FACTOR,0.66,1,Am not interested in other people's problems.,Attractiveness
7FACTOR,0.75,-1,Am not interested in other people's problems.,Conscientiousness
7FACTOR,0.84,1,Am not interested in other people's problems.,Intellect
7FACTOR,0.72,1,Am not interested in speculating about things.,Negative-Valence
7FACTOR,0.72,1,Am not interested in speculating about things.,Negative-Valence
7FACTOR,0.72,1,Am not interested in theoretical discussions.,Negative-Valence
7FACTOR,0.72,1,Am not interested in theoretical discussions.,Negative-Valence
7FACTOR,0.75,-1,Am not interested in theoretical discussions.,Conscientiousness
7FACTOR,0.75,1,Am not interested in theoretical discussions.,Conscientiousness
7FACTOR,0.75,-1,Am not interested in theoretical discussions.,Conscientiousness
7FACTOR,0.66,-1,Am not interested in theoretical discussions.,Attractiveness
7FACTOR,0.66,-1,Am not known for my sense of humor.,Attractiveness
7FACTOR,0.82,-1,Am not really interested in others.,Extraversion
7FACTOR,0.77,1,Am not really interested in others.,Agreeableness
7FACTOR,0.77,-1,Am not really interested in others.,Agreeableness
7FACTOR,0.86,-1,Am not sure where my life is going.,Emotional Stability
7FACTOR,0.66,1,Am not sure where my life is going.,Attractiveness
7FACTOR,0.84,1,Am not sure where my life is going.,Intellect
7FACTOR,0.77,1,Am not sure where my life is going.,Agreeableness
7FACTOR,0.82,-1,Am not sure where my life is going.,Extraversion
7FACTOR,0.84,-1,Am not sure where my life is going.,Intellect
7FACTOR,0.84,1,Am not very good at getting things done.,Intellect
7FACTOR,0.82,-1,Am odd.,Extraversion
7FACTOR,0.77,-1,Am often accused of being narrow-minded.,Agreeableness
7FACTOR,0.72,1,Am often down in the dumps.,Negative-Valence
7FACTOR,0.75,-1,Am often down in the dumps.,Conscientiousness
7FACTOR,0.66,1,Am often down in the dumps.,Attractiveness
7FACTOR,0.66,1,Am often down in the dumps.,Attractiveness
7FACTOR,0.66,-1,Am often down in the dumps.,Attractiveness
7FACTOR,0.75,1,Am often fidgety.,Conscientiousness
7FACTOR,0.66,1,Am often in a bad mood.,Attractiveness
7FACTOR,0.82,1,Am often in a bad mood.,Extraversion
7FACTOR,0.77,1,Am often in a bad mood.,Agreeableness
7FACTOR,0.72,1,Am often in a bad mood.,Negative-Valence
7FACTOR,0.82,1,Am often in a bad mood.,Extraversion
7FACTOR,0.75,1,Am often in a bad mood.,Conscientiousness
7FACTOR,0.66,-1,Am often in a bad mood.,Attractiveness
7FACTOR,0.77,-1,Am often in a bad mood.,Agreeableness
7FACTOR,0.84,1,Am often late to work.,Intellect
7FACTOR,0.82,-1,Am often out for revenge.,Extraversion
7FACTOR,0.77,1,Am often so assertive or sociable that I surprise myself.,Agreeableness
7FACTOR,0.77,-1,Am often so restless that it is impossible for me to sit still.,Agreeableness
7FACTOR,0.82,1,Am on good terms with nearly everyone.,Extraversion
7FACTOR,0.86,1,Am on good terms with nearly everyone.,Emotional Stability
7FACTOR,0.72,1,Am on good terms with nearly everyone.,Negative-Valence
7FACTOR,0.82,1,Am on good terms with nearly everyone.,Extraversion
7FACTOR,0.84,-1,Am only kind to others if they have been kind to me.,Intellect
7FACTOR,0.75,1,Am open about my feelings.,Conscientiousness
7FACTOR,0.72,1,Am open about my feelings.,Negative-Valence
7FACTOR,0.72,1,Am open about my feelings.,Negative-Valence
7FACTOR,0.72,1,Am open about my feelings.,Negative-Valence
